sample_state,material,image_id,Mean,RMS_Contrast,Entropy,Sharpness,Gradient,SNR,parameter_set,voltage_kV,current_nA,detector,signal_out,mode,magnification,notes,WD_mm,scan_speed_us,suction_V
Fresh,LFP,73,0.3083299,0.2023433955412642,7.295585472222933,0.012370709586949953,0.24888905553544705,7.135919964852449,8.0,30.0,0.8,ETD,SE,Field-Free,50000x,same area as previous,4,30.0,
Fresh,LFP,74,0.46064976,0.2343213287376654,7.45897221448462,0.007976389174083158,0.2313564278715612,13.810460799658799,8.0,30.0,1.6,ETD,SE,Field-Free,50000x,same area as previous,4,30.0,
Fresh,LFP,75,0.45933375,0.22598104715816528,7.417298042933543,0.00874170678723507,0.25190721014672385,12.477474952281662,8.0,30.0,1.6,ETD,SE,Field-Free,50000x,same settings different area moving from beam history,4,30.0,
Fresh,LFP,76,0.45410407,0.2198704449150018,7.4063543627794814,0.005321348299035468,0.25944084752329,11.235599622592185,8.0,30.0,3.2,ETD,SE,Field-Free,50000x,same area as previous,4,30.0,
Fresh,LFP,77,0.3210323,0.1855293581585954,6.728962058304844,0.030837220705494797,0.2898852883054098,6.063886776669321,8.0,30.0,0.4,ETD,SE,Field-Free,50000x,same area as previous,4,30.0,
Fresh,LFP,78,0.29705968,0.2330468133363509,7.118871797593449,0.001807502518158585,0.13605629003388978,17.458955656488744,8.0,10.0,1.6,ETD,SE,Field-Free,50000x,same area as previous,4,30.0,
Fresh,LFP,79,0.3412409,0.2540352847944484,7.36284293710423,0.0017297321775759406,0.141466270079476,21.38624834507986,8.0,10.0,1.6,ETD,SE,Field-Free,50000x,Different area,4,30.0,
Fresh,LFP,80,0.35543278,0.2212570820167209,7.356602019684995,0.006250520627231048,0.19270395839565513,10.925286799245264,8.0,10.0,0.4,ETD,SE,Field-Free,50000x,Different area,4,30.0,
Fresh,LFP,81,0.3859204,0.21410846078194085,7.018624824702787,0.010330630209358496,0.1960431413757584,12.904584482819965,8.0,15.0,0.4,ETD,SE,Field-Free,50000x,same area as previous,4,30.0,
Fresh,LFP,82,0.39759484,0.23135777632212892,7.482131127634734,0.0028484959055067685,0.15479321846899596,19.99455152123064,8.0,15.0,1.6,ETD,SE,Field-Free,50000x,same area as previous,4,30.0,
Fresh,LFP,83,0.3991957,0.21157787417508706,7.241454185800078,0.004526796300224013,0.19044465592023863,13.987557041514018,8.0,20.0,1.6,ETD,SE,Field-Free,50000x,same area as previous,4,30.0,
Fresh,LFP,84,0.39433327,0.2108200843486538,7.135848030848031,0.008935793246799027,0.21732169088407075,11.442565967930335,8.0,20.0,0.8,ETD,SE,Field-Free,50000x,same area as previous,4,30.0,
Fresh,LFP,85,0.36161712,0.20344077033017532,7.050066873227598,0.019548573092174153,0.23694330866926608,8.735526186830318,8.0,20.0,0.4,ETD,SE,Field-Free,50000x,same area as previous,4,30.0,
